BANK_ID,BANK_NAME,IFS_CODE,EST_YEAR
1000,BANK1000,BANK93540,1982
1001,BANK1001,BANK967539,1966
1002,BANK1002,BANK196051,1994
1003,BANK1003,BANK224715,1988
1004,BANK1004,BANK368257,1988
1005,BANK1005,BANK349742,1996
1006,BANK1006,BANK107660,1955
1007,BANK1007,BANK804708,1990
1008,BANK1008,BANK558378,1955
1009,BANK1009,BANK973833,1985
1010,BANK1010,BANK747880,1963
1011,BANK1011,BANK221976,1964
1012,BANK1012,BANK191966,1999
1013,BANK1013,BANK941052,2000
1014,BANK1014,BANK873705,2008
1015,BANK1015,BANK542798,1993
1016,BANK1016,BANK299876,2009
1017,BANK1017,BANK830699,1970
1018,BANK1018,BANK318725,1956
1019,BANK1019,BANK423535,2001
1020,BANK1020,BANK371503,1954
1021,BANK1021,BANK181234,1967
1022,BANK1022,BANK787706,1987
1023,BANK1023,BANK106217,1962
1024,BANK1024,BANK594493,1956
1025,BANK1025,BANK33047,1982
1026,BANK1026,BANK247110,1984
1027,BANK1027,BANK225860,1991
1028,BANK1028,BANK38095,1960
1029,BANK1029,BANK450285,1961
1030,BANK1030,BANK86716,1981
1031,BANK1031,BANK172770,1973
1032,BANK1032,BANK579550,1962
1033,BANK1033,BANK109289,1970
1034,BANK1034,BANK382243,2010
1035,BANK1035,BANK598090,1951
1036,BANK1036,BANK378517,1954
1037,BANK1037,BANK368408,1991
1038,BANK1038,BANK129736,1957
1039,BANK1039,BANK267545,1968
1040,BANK1040,BANK269226,1986
1041,BANK1041,BANK744652,1998
1042,BANK1042,BANK177545,1990
1043,BANK1043,BANK543366,1989
1044,BANK1044,BANK652571,1951
1045,BANK1045,BANK734671,1992
1046,BANK1046,BANK996735,1978
1047,BANK1047,BANK530725,1969
1048,BANK1048,BANK825750,2011
1049,BANK1049,BANK134111,2013
1050,BANK1050,BANK767054,1987
1051,BANK1051,BANK833614,1956
1052,BANK1052,BANK248426,1961
1053,BANK1053,BANK34965,1970
1054,BANK1054,BANK46294,1951
1055,BANK1055,BANK611262,2013
1056,BANK1056,BANK743049,1969
1057,BANK1057,BANK401774,1989
1058,BANK1058,BANK861771,1998
1059,BANK1059,BANK397378,1956
1060,BANK1060,BANK547103,1972
1061,BANK1061,BANK196351,1993
1062,BANK1062,BANK447234,2011
1063,BANK1063,BANK667769,2012
1064,BANK1064,BANK25071,1995
1065,BANK1065,BANK59124,1978
1066,BANK1066,BANK906548,1955
1067,BANK1067,BANK321325,2001
1068,BANK1068,BANK771345,1990
1069,BANK1069,BANK289746,1967
1070,BANK1070,BANK14884,2008
1071,BANK1071,BANK283704,1977
1072,BANK1072,BANK978284,2000
1073,BANK1073,BANK436774,1952
1074,BANK1074,BANK343903,1977
1075,BANK1075,BANK527748,1961
1076,BANK1076,BANK22447,1998
1077,BANK1077,BANK76149,1969
1078,BANK1078,BANK612742,2014
1079,BANK1079,BANK438574,2002
1080,BANK1080,BANK871674,1958
1081,BANK1081,BANK792855,2007
1082,BANK1082,BANK305627,2007
1083,BANK1083,BANK340365,1983
1084,BANK1084,BANK282324,1990
1085,BANK1085,BANK624474,2006
1086,BANK1086,BANK642556,1987
1087,BANK1087,BANK823636,1996
1088,BANK1088,BANK292741,1950
1089,BANK1089,BANK543263,1975
1090,BANK1090,BANK306162,1992
1091,BANK1091,BANK535246,1979
1092,BANK1092,BANK165355,1956
1093,BANK1093,BANK183029,1984
1094,BANK1094,BANK504965,2006
1095,BANK1095,BANK509027,1963
1096,BANK1096,BANK13687,1962
1097,BANK1097,BANK751156,2001
1098,BANK1098,BANK74167,1999
1099,BANK1099,BANK102003,1959
1100,BANK1100,BANK47373,1961
1101,BANK1101,BANK736826,1980
1102,BANK1102,BANK500980,2007
1103,BANK1103,BANK714913,1976
1104,BANK1104,BANK232526,2011
1105,BANK1105,BANK211219,1968
1106,BANK1106,BANK56196,1989
1107,BANK1107,BANK429027,1977
1108,BANK1108,BANK810808,1983
1109,BANK1109,BANK757248,1976
1110,BANK1110,BANK674509,2009
1111,BANK1111,BANK200808,1977
1112,BANK1112,BANK973010,1957
1113,BANK1113,BANK752697,2005
1114,BANK1114,BANK264041,1989
1115,BANK1115,BANK944465,1954
1116,BANK1116,BANK763587,1987
1117,BANK1117,BANK198014,1957
1118,BANK1118,BANK186103,2009
1119,BANK1119,BANK706439,1959
1120,BANK1120,BANK570012,2006
1121,BANK1121,BANK667851,1982
1122,BANK1122,BANK118106,1989
1123,BANK1123,BANK759467,1991
1124,BANK1124,BANK240647,2001
1125,BANK1125,BANK106972,2006
1126,BANK1126,BANK315861,1996
1127,BANK1127,BANK107879,1962
1128,BANK1128,BANK939733,1962
1129,BANK1129,BANK490614,1952
1130,BANK1130,BANK151799,2005
1131,BANK1131,BANK568446,2006
1132,BANK1132,BANK880545,1990
1133,BANK1133,BANK143807,1979
1134,BANK1134,BANK19712,1980
1135,BANK1135,BANK389617,1982
1136,BANK1136,BANK664131,1991
1137,BANK1137,BANK732021,2012
1138,BANK1138,BANK324999,1999
1139,BANK1139,BANK49747,1951
1140,BANK1140,BANK907907,1979
1141,BANK1141,BANK1350,2012
1142,BANK1142,BANK687567,1953
1143,BANK1143,BANK163558,1963
1144,BANK1144,BANK394656,2003
1145,BANK1145,BANK863183,1964
1146,BANK1146,BANK720373,1966
1147,BANK1147,BANK630239,1954
1148,BANK1148,BANK482646,1959
1149,BANK1149,BANK119175,1966
1150,BANK1150,BANK675114,2003
1151,BANK1151,BANK436822,1975
1152,BANK1152,BANK83282,1994
1153,BANK1153,BANK788871,1998
1154,BANK1154,BANK13280,1992
1155,BANK1155,BANK864559,2002
1156,BANK1156,BANK87260,1951
1157,BANK1157,BANK506719,1965
1158,BANK1158,BANK341829,1952
1159,BANK1159,BANK436432,1970
1160,BANK1160,BANK186126,2005
1161,BANK1161,BANK652181,1997
1162,BANK1162,BANK323496,1974
1163,BANK1163,BANK424089,1955
1164,BANK1164,BANK286922,1977
1165,BANK1165,BANK805785,1998
1166,BANK1166,BANK440514,2008
1167,BANK1167,BANK16712,1968
1168,BANK1168,BANK521855,1970
1169,BANK1169,BANK482808,1968
1170,BANK1170,BANK611429,1982
1171,BANK1171,BANK37003,2011
1172,BANK1172,BANK373092,1999
1173,BANK1173,BANK74739,2012
1174,BANK1174,BANK526614,1963
1175,BANK1175,BANK682777,1972
1176,BANK1176,BANK163559,2002
1177,BANK1177,BANK421318,1972
1178,BANK1178,BANK987216,1986
1179,BANK1179,BANK537403,1994
1180,BANK1180,BANK865299,1981
1181,BANK1181,BANK918720,1994
1182,BANK1182,BANK634353,2014
1183,BANK1183,BANK471899,1989
1184,BANK1184,BANK714290,2001
1185,BANK1185,BANK775022,1988
1186,BANK1186,BANK757004,1974
1187,BANK1187,BANK169857,1951
1188,BANK1188,BANK198231,2002
1189,BANK1189,BANK707987,1978
1190,BANK1190,BANK276088,1963
1191,BANK1191,BANK318302,1966
1192,BANK1192,BANK102242,1964
1193,BANK1193,BANK325983,1961
1194,BANK1194,BANK221817,1958
1195,BANK1195,BANK122891,1984
1196,BANK1196,BANK173608,1986
1197,BANK1197,BANK764585,1996
1198,BANK1198,BANK774581,1995
1199,BANK1199,BANK840779,1971
1200,BANK1200,BANK831690,2001
1201,BANK1201,BANK295229,1999
1202,BANK1202,BANK751810,1981
1203,BANK1203,BANK215136,1957
1204,BANK1204,BANK598537,1976
1205,BANK1205,BANK623481,1995
1206,BANK1206,BANK176929,1970
1207,BANK1207,BANK927735,1978
1208,BANK1208,BANK824246,1961
1209,BANK1209,BANK920494,1985
1210,BANK1210,BANK826055,1954
1211,BANK1211,BANK401787,2005
1212,BANK1212,BANK935620,1950
1213,BANK1213,BANK803393,1957
1214,BANK1214,BANK415845,2004
1215,BANK1215,BANK34276,1987
1216,BANK1216,BANK589263,1992
1217,BANK1217,BANK803749,1962
1218,BANK1218,BANK228690,2000
1219,BANK1219,BANK646289,1969
1220,BANK1220,BANK763755,1962
1221,BANK1221,BANK353715,1978
1222,BANK1222,BANK300552,2000
1223,BANK1223,BANK723291,1984
1224,BANK1224,BANK947556,2006
1225,BANK1225,BANK478655,1981
1226,BANK1226,BANK957367,2008
1227,BANK1227,BANK992425,1979
1228,BANK1228,BANK350265,2001
1229,BANK1229,BANK885520,1997
1230,BANK1230,BANK648709,1985
1231,BANK1231,BANK555451,2000
1232,BANK1232,BANK659787,1989
1233,BANK1233,BANK694971,1964
1234,BANK1234,BANK530368,1970
1235,BANK1235,BANK914249,1957
1236,BANK1236,BANK289628,1951
1237,BANK1237,BANK246566,1982
1238,BANK1238,BANK577664,1971
1239,BANK1239,BANK359704,1989
1240,BANK1240,BANK159122,1987
1241,BANK1241,BANK656690,1964
1242,BANK1242,BANK271947,1960
1243,BANK1243,BANK244239,1996
1244,BANK1244,BANK273062,1972
1245,BANK1245,BANK198455,1950
1246,BANK1246,BANK547395,1961
1247,BANK1247,BANK827068,1960
1248,BANK1248,BANK194252,1984
1249,BANK1249,BANK983161,1965
1250,BANK1250,BANK183355,1992
1251,BANK1251,BANK845162,1968
1252,BANK1252,BANK538013,1959
1253,BANK1253,BANK927074,1990
1254,BANK1254,BANK751473,2012
1255,BANK1255,BANK409678,2013
1256,BANK1256,BANK704386,2000
1257,BANK1257,BANK752120,1999
1258,BANK1258,BANK188643,1953
1259,BANK1259,BANK979973,2006
1260,BANK1260,BANK570357,1950
1261,BANK1261,BANK837781,1957
1262,BANK1262,BANK611252,1959
1263,BANK1263,BANK64808,2006
1264,BANK1264,BANK641928,1982
1265,BANK1265,BANK906486,1958
1266,BANK1266,BANK497284,1955
1267,BANK1267,BANK496764,2001
1268,BANK1268,BANK627537,1996
1269,BANK1269,BANK413389,1977
1270,BANK1270,BANK514743,2014
1271,BANK1271,BANK341491,1974
1272,BANK1272,BANK781660,1971
1273,BANK1273,BANK358821,1995
1274,BANK1274,BANK454682,2003
1275,BANK1275,BANK137465,1990
1276,BANK1276,BANK400253,1973
1277,BANK1277,BANK615460,2009
1278,BANK1278,BANK930229,1960
1279,BANK1279,BANK896900,1995
1280,BANK1280,BANK162404,1972
1281,BANK1281,BANK715472,1960
1282,BANK1282,BANK96948,1997
1283,BANK1283,BANK617810,2012
1284,BANK1284,BANK836417,1952
1285,BANK1285,BANK230616,2009
1286,BANK1286,BANK626734,1968
1287,BANK1287,BANK341001,1981
1288,BANK1288,BANK789722,1950
1289,BANK1289,BANK977202,1976
1290,BANK1290,BANK848205,1987
1291,BANK1291,BANK581246,1980
1292,BANK1292,BANK636002,1962
1293,BANK1293,BANK184207,1983
1294,BANK1294,BANK649361,1998
1295,BANK1295,BANK116212,1957
1296,BANK1296,BANK140068,1985
1297,BANK1297,BANK798917,1983
1298,BANK1298,BANK78638,1975
1299,BANK1299,BANK784977,1978
1300,BANK1300,BANK630004,1955
1301,BANK1301,BANK306782,2008
1302,BANK1302,BANK767157,2001
1303,BANK1303,BANK886125,1993
1304,BANK1304,BANK565305,1957
1305,BANK1305,BANK520264,2011
1306,BANK1306,BANK122309,1958
1307,BANK1307,BANK118594,1978
1308,BANK1308,BANK836853,2001
1309,BANK1309,BANK720211,1980
1310,BANK1310,BANK290210,1995
1311,BANK1311,BANK835287,1981
1312,BANK1312,BANK106461,2009
1313,BANK1313,BANK916132,1952
1314,BANK1314,BANK319106,1971
1315,BANK1315,BANK440895,1984
1316,BANK1316,BANK813126,1990
1317,BANK1317,BANK197606,2003
1318,BANK1318,BANK111610,1959
1319,BANK1319,BANK36862,2000
1320,BANK1320,BANK542585,2009
1321,BANK1321,BANK547081,1986
1322,BANK1322,BANK616971,1997
1323,BANK1323,BANK648845,1956
1324,BANK1324,BANK375298,1971
1325,BANK1325,BANK811938,2006
1326,BANK1326,BANK387025,1955
1327,BANK1327,BANK15667,1960
1328,BANK1328,BANK148505,1999
1329,BANK1329,BANK736452,1966
1330,BANK1330,BANK447254,1951
1331,BANK1331,BANK195388,1989
1332,BANK1332,BANK477523,2009
1333,BANK1333,BANK716905,1951
1334,BANK1334,BANK163280,1966
1335,BANK1335,BANK185621,1992
1336,BANK1336,BANK438058,2002
1337,BANK1337,BANK464027,1963
1338,BANK1338,BANK579331,2012
1339,BANK1339,BANK645625,2010
1340,BANK1340,BANK187066,1980
1341,BANK1341,BANK763241,1964
1342,BANK1342,BANK107863,1951
1343,BANK1343,BANK528001,1957
1344,BANK1344,BANK586076,1986
1345,BANK1345,BANK521131,1984
1346,BANK1346,BANK639380,1967
1347,BANK1347,BANK459987,2006
1348,BANK1348,BANK170582,1977
1349,BANK1349,BANK211218,1962
1350,BANK1350,BANK404149,1967
1351,BANK1351,BANK296668,1974
1352,BANK1352,BANK619308,1962
1353,BANK1353,BANK552258,2011
1354,BANK1354,BANK614319,2000
1355,BANK1355,BANK547812,2009
1356,BANK1356,BANK804062,1994
1357,BANK1357,BANK663311,1991
1358,BANK1358,BANK348635,2004
1359,BANK1359,BANK503683,2006
1360,BANK1360,BANK386088,1987
1361,BANK1361,BANK759789,1958
1362,BANK1362,BANK815959,1982
1363,BANK1363,BANK324076,2011
1364,BANK1364,BANK736516,2010
1365,BANK1365,BANK320641,2010
1366,BANK1366,BANK163124,1959
1367,BANK1367,BANK268569,1951
1368,BANK1368,BANK897412,1950
1369,BANK1369,BANK946030,2009
1370,BANK1370,BANK414974,1990
1371,BANK1371,BANK999706,2005
1372,BANK1372,BANK578704,2014
1373,BANK1373,BANK900191,1998
1374,BANK1374,BANK710419,2003
1375,BANK1375,BANK137517,1952
1376,BANK1376,BANK194572,1971
1377,BANK1377,BANK663840,1950
1378,BANK1378,BANK694150,1966
1379,BANK1379,BANK862774,1969
1380,BANK1380,BANK316957,1997
1381,BANK1381,BANK365622,1952
1382,BANK1382,BANK466567,1950
1383,BANK1383,BANK679327,1980
1384,BANK1384,BANK184531,1998
1385,BANK1385,BANK807033,1968
1386,BANK1386,BANK201775,1952
1387,BANK1387,BANK869352,2010
1388,BANK1388,BANK157660,1992
1389,BANK1389,BANK822422,1991
1390,BANK1390,BANK167843,1966
1391,BANK1391,BANK408678,1973
1392,BANK1392,BANK890278,1987
1393,BANK1393,BANK548197,1965
1394,BANK1394,BANK406274,1954
1395,BANK1395,BANK350132,2011
1396,BANK1396,BANK751822,2005
1397,BANK1397,BANK7358,2004
1398,BANK1398,BANK757267,1995
1399,BANK1399,BANK424546,1969
1400,BANK1400,BANK914384,1956
1401,BANK1401,BANK28053,1997
1402,BANK1402,BANK154656,1992
1403,BANK1403,BANK329527,1953
1404,BANK1404,BANK863764,1983
1405,BANK1405,BANK754546,1993
1406,BANK1406,BANK708033,1964
1407,BANK1407,BANK345453,2002
1408,BANK1408,BANK632001,2012
1409,BANK1409,BANK599077,1980
1410,BANK1410,BANK503716,1961
1411,BANK1411,BANK629514,1991
1412,BANK1412,BANK425772,1979
1413,BANK1413,BANK879372,2011
1414,BANK1414,BANK385153,1982
1415,BANK1415,BANK660658,1979
1416,BANK1416,BANK130418,2007
1417,BANK1417,BANK246060,2005
1418,BANK1418,BANK740645,1980
1419,BANK1419,BANK346898,1974
1420,BANK1420,BANK92266,1960
1421,BANK1421,BANK111087,1996
1422,BANK1422,BANK913524,1981
1423,BANK1423,BANK536785,1961
1424,BANK1424,BANK95889,1972
1425,BANK1425,BANK931427,2009
1426,BANK1426,BANK629216,1965
1427,BANK1427,BANK331399,1993
1428,BANK1428,BANK49456,1988
1429,BANK1429,BANK63433,1954
1430,BANK1430,BANK851962,1960
1431,BANK1431,BANK821805,2008
1432,BANK1432,BANK777052,1963
1433,BANK1433,BANK702701,2009
1434,BANK1434,BANK560387,2014
1435,BANK1435,BANK472474,2005
1436,BANK1436,BANK119650,1978
1437,BANK1437,BANK729140,1953
1438,BANK1438,BANK183685,1991
1439,BANK1439,BANK943581,1960
1440,BANK1440,BANK39413,1998
1441,BANK1441,BANK480596,1996
1442,BANK1442,BANK648680,2003
1443,BANK1443,BANK994877,2013
1444,BANK1444,BANK974635,1996
